Time	Host	Drop	Total Drop
39600	w95		1		233
39600	w97		2		233
39600	w98		2		233
39600	w99		1		233
39600	w100		1		233
39600	w102		3		233
39600	w103		7		233
39600	w104		2		233
39600	w105		3		233
39600	w109		2		233
39600	w110		2		233
39600	w112		1		233
39600	w113		1		233
39600	w114		1		233
39600	w115		2		233
39600	w116		1		233
39600	w117		2		233
39600	w118		1		233
39600	t120		7		233
39600	t121		7		233
39600	t122		7		233
39600	t123		7		233
39600	t124		7		233
39600	t125		7		233
