Contacts	TotalForwards
735532	12601
736032	12611
736532	12618
737032	12628
737533	12638
738034	12651
738534	12656
739035	12659
739535	12668
740035	12676
740535	12683
741036	12692
741536	12703
742036	12715
742537	12722
743039	12729
743539	12737
744039	12752
744539	12757
745039	12766
745539	12773
746039	12784
746541	12790
747041	12808
747542	12818
748043	12826
748543	12834
749044	12839
749544	12850
750044	12860
750546	12871
751047	12878
751547	12884
752048	12887
752548	12894
753048	12907
753549	12912
754049	12920
754550	12928
755050	12937
755550	12939
756050	12947
756552	12957
757053	12976
757553	12987
758053	12994
758553	13002
759053	13009
759553	13018
760053	13029
760553	13038
761053	13045
761553	13050
762054	13056
762554	13065
763054	13070
763554	13081
764055	13088
764555	13100
765056	13109
765556	13120
766056	13129
766556	13139
767056	13146
767556	13153
768057	13164
768558	13175
769059	13185
769559	13190
770060	13195
770562	13201
771062	13212
771562	13220
772064	13228
772564	13235
773064	13241
773564	13251
774064	13262
774564	13268
775064	13274
775564	13283
776064	13301
776566	13307
777069	13318
777569	13323
778069	13332
778569	13339
779070	13347
779570	13352
780070	13358
780570	13366
781070	13372
781570	13379
782070	13389
782570	13396
783070	13409
783570	13415
784070	13422
784570	13431
785070	13440
785573	13448
786073	13457
786573	13464
787073	13476
787573	13486
788073	13493
788573	13500
789073	13513
789573	13520
790073	13526
790573	13532
791074	13539
791574	13545
792074	13554
792576	13558
793076	13566
793576	13576
794076	13584
794577	13594
795077	13606
795577	13615
796077	13627
796577	13638
797078	13647
797579	13656
798079	13667
798579	13676
799079	13686
799579	13692
800079	13699
800580	13709
801080	13716
801580	13726
802081	13734
802581	13745
803081	13749
803581	13754
804081	13761
804583	13771
805083	13776
805585	13785
806085	13794
806585	13805
807085	13818
807586	13825
808087	13834
808587	13840
809088	13855
809590	13859
810090	13866
810590	13875
811091	13883
811591	13894
812091	13902
812591	13911
813091	13918
813591	13930
814092	13937
814592	13941
815093	13950
815593	13962
816093	13970
816593	13985
817093	13992
817594	13994
818094	14003
818594	14013
819094	14029
819594	14037
820095	14046
820595	14055
821095	14062
821595	14071
822096	14080
822597	14086
823097	14098
823597	14104
824097	14111
824597	14127
825098	14138
825598	14144
826098	14154
826599	14164
827100	14172
827601	14177
828101	14185
828602	14203
829102	14213
829602	14221
830103	14233
830603	14236
831103	14241
831603	14250
832103	14257
832603	14263
833103	14271
833603	14278
834103	14284
834603	14299
835103	14310
835603	14317
836103	14325
836603	14333
837105	14342
837605	14348
838105	14355
838605	14366
839105	14377
839606	14386
840108	14390
840608	14405
841108	14413
841608	14427
842108	14438
842609	14444
843110	14448
843610	14455
844111	14462
844612	14472
845112	14483
845613	14490
846113	14494
846614	14505
847114	14512
847614	14520
848115	14533
848615	14541
849115	14552
849616	14564
850116	14571
850616	14581
851116	14591
851617	14599
852117	14608
852618	14614
853118	14624
853620	14633
854120	14643
854620	14652
855120	14659
855620	14665
856120	14675
856621	14683
857121	14691
857622	14695
858122	14710
858623	14717
859123	14722
859623	14731
860123	14738
860623	14748
861124	14758
861624	14770
862125	14781
862627	14785
863127	14792
863628	14802
864128	14812
864629	14819
865130	14830
865631	14847
866131	14852
866631	14861
867131	14869
867631	14877
868131	14882
868632	14885
869133	14890
869634	14899
870134	14905
870634	14918
871136	14924
871636	14932
872136	14935
872636	14947
873136	14950
873636	14963
874137	14969
874637	14980
875137	14983
875637	14992
876137	15003
876637	15014
877138	15025
877639	15033
878139	15041
878639	15048
879139	15059
879639	15068
880139	15078
880639	15085
881139	15093
881639	15102
882139	15113
882640	15120
883140	15127
883640	15136
884141	15140
884641	15149
885141	15158
885642	15170
886143	15176
886645	15188
887146	15203
887647	15213
888147	15219
888647	15230
889147	15238
889647	15246
890148	15254
890648	15266
891151	15274
891652	15283
892152	15291
892653	15299
893153	15306
893653	15315
894153	15321
894653	15327
895154	15336
895654	15345
896154	15353
896654	15360
897155	15368
897655	15381
898155	15389
898655	15398
899155	15400
899655	15408
900155	15417
900655	15425
901155	15436
901655	15444
902156	15458
902656	15467
903156	15476
903656	15479
904157	15487
904657	15497
905157	15504
905657	15513
906157	15517
906658	15527
907159	15537
907659	15546
908160	15557
908660	15559
909160	15569
909661	15582
910161	15594
910661	15602
911162	15612
911662	15623
912162	15625
912662	15633
913162	15637
913662	15642
914162	15646
914662	15658
915163	15667
915663	15676
916163	15683
916663	15689
917163	15703
917663	15714
918163	15720
918664	15730
919166	15740
919667	15755
920168	15763
920668	15776
921170	15782
921670	15794
922170	15800
922670	15804
923170	15812
923670	15823
924172	15831
924674	15832
925174	15842
925674	15848
926174	15855
926674	15865
927175	15878
927675	15890
928175	15904
928675	15911
929175	15916
929676	15929
930177	15937
930678	15953
931178	15960
931678	15969
932178	15976
932678	15984
933180	15995
933681	16004
934182	16012
934682	16019
935184	16028
935684	16039
936184	16046
936684	16056
937185	16068
937685	16079
938185	16082
938686	16089
939186	16093
939687	16105
940187	16117
940687	16123
941187	16132
941687	16139
942188	16150
942688	16156
943189	16168
943689	16179
944189	16191
944690	16201
945192	16215
945692	16224
946194	16229
946694	16234
947194	16240
947695	16251
948195	16256
948696	16264
949197	16268
949697	16274
950197	16286
950697	16297
951199	16307
951700	16315
952200	16328
952702	16335
953202	16345
953703	16354
954203	16364
954703	16368
955203	16374
955703	16379
956203	16388
956703	16394
957205	16404
957706	16408
958206	16420
958706	16424
959206	16430
959706	16436
960207	16441
960707	16449
961207	16456
961708	16469
962208	16472
962709	16483
963209	16489
963709	16498
964209	16506
964710	16511
965210	16523
965711	16531
966211	16543
966714	16552
967214	16565
967714	16574
968214	16581
968714	16589
969214	16597
969714	16607
970214	16612
970714	16616
971215	16622
971716	16627
972217	16634
972717	16642
973219	16649
973719	16657
974219	16667
974719	16675
975219	16680
975719	16689
976219	16697
976719	16706
977219	16719
977720	16728
978221	16737
978721	16747
979221	16759
979721	16763
980221	16767
980721	16774
981221	16782
981721	16792
982222	16801
982722	16809
983222	16820
983722	16836
984222	16844
984722	16852
985222	16862
985722	16870
986224	16881
986724	16888
987224	16903
987724	16910
988226	16916
988728	16926
989228	16939
989728	16948
990228	16959
990729	16965
991229	16973
991730	16983
992230	16994
992730	17004
993230	17005
993730	17013
994230	17023
994730	17031
995230	17042
995730	17052
996231	17062
996731	17070
997231	17079
997732	17088
998232	17094
998732	17098
999232	17105
999732	17113
1000232	17124
1000732	17132
1001232	17140
1001732	17154
1002232	17163
1002732	17171
1003232	17174
1003732	17181
1004233	17192
1004733	17205
1005234	17217
1005736	17227
1006236	17234
1006737	17243
1007237	17252
1007738	17259
1008238	17271
1008738	17289
1009238	17294
1009738	17301
1010238	17304
1010738	17313
1011239	17321
1011739	17330
1012240	17337
1012741	17345
1013241	17354
1013742	17363
1014242	17377
1014744	17382
1015244	17390
1015745	17398
1016245	17408
1016748	17413
1017248	17426
1017748	17433
1018248	17442
1018748	17451
1019248	17465
1019749	17476
1020249	17484
1020749	17497
1021250	17503
1021751	17506
1022251	17521
1022751	17527
1023251	17529
1023751	17538
1024251	17548
1024753	17554
1025254	17566
1025755	17577
1026255	17585
1026755	17595
1027255	17598
1027755	17607
1028255	17617
1028756	17630
1029256	17644
1029756	17659
1030257	17667
1030757	17677
